Support Ticket ID,Product,Customer,Status,Priority,CSAT Score,TTR (hours),Created Date,Resolved Date,Comments
SUP-37,FNA,Whiskey01,Pending,High,5,38,2025-05-04,2024-01-15,Issue resolved quickly
SUP-38,FNB,Foxtrot03,In Progress,High,1,64,2023-09-26,2024-09-19,Need follow-up
SUP-39,FNA,Juliet02,Closed,Medium,3,47,2024-03-10,2023-02-01,Issue resolved quickly
SUP-40,FNB,Echo01,In Progress,High,4,68,2024-12-17,2024-08-19,Pending customer feedback
SUP-41,FNB,Oscar02,Closed,Urgent,3,156,2023-09-14,2024-06-21,Unclear communication
SUP-42,FNC,Mike03,Closed,Low,5,149,2024-06-22,2023-02-11,Unclear communication
SUP-43,FNB,Tango04,Open,Medium,4,36,2023-07-29,2024-03-06,Issue resolved quickly
SUP-44,FNA,Lima01,Closed,Medium,1,2,2025-04-17,2024-10-04,Slow response time
SUP-45,FNA,Whiskey03,Closed,Urgent,4,17,2025-05-13,2024-07-28,Customer waited too long
SUP-46,FNA,Whiskey01,In Progress,High,3,155,2024-12-08,2023-02-11,Product feature missing
SUP-47,FNB,Xray04,Pending,High,4,115,2023-05-11,2025-04-11,Issue resolved quickly
SUP-48,FNC,Golf01,Closed,Urgent,5,7,2024-02-27,2025-01-20,Issue resolved quickly
SUP-49,FNC,Hotel04,Pending,Urgent,2,65,2024-10-24,2023-01-26,Unclear communication
SUP-50,FNB,Echo03,In Progress,Urgent,2,103,2023-09-24,2023-12-24,Excellent support
SUP-51,FNC,Oscar04,Open,Urgent,1,44,2025-07-21,2024-04-18,Resolved after escalation
SUP-52,FNB,Victor02,In Progress,High,1,146,2025-03-15,2024-06-02,Pending customer feedback
SUP-53,FNB,Uniform03,In Progress,High,4,159,2023-08-02,2023-11-27,Customer waited too long
SUP-54,FNA,Charlie03,Pending,Urgent,1,128,2024-09-08,2024-02-06,Helpful and responsive
SUP-55,FNA,Victor02,Pending,Urgent,3,79,2023-10-25,2025-07-12,Pending customer feedback
SUP-56,FNC,Uniform04,Closed,High,4,54,2025-04-08,2024-02-16,Helpful and responsive
SUP-57,FNB,Lima03,Pending,Medium,5,66,2023-12-25,2024-01-15,Need follow-up
SUP-58,FNB,Tango04,Open,High,5,91,2023-03-06,2025-04-01,Excellent support
SUP-59,FNC,Kilo03,In Progress,Urgent,5,138,2024-10-06,2023-06-30,Pending customer feedback
SUP-60,FNB,Sierra03,Pending,Low,4,136,2024-10-26,2024-08-24,Unclear communication
SUP-61,FNB,Bravo02,Open,Urgent,3,71,2024-12-01,2023-11-09,Resolved after escalation
SUP-62,FNB,Papa01,Open,Medium,4,5,2024-02-22,2024-09-17,Pending customer feedback
SUP-63,FNA,Quebec03,In Progress,High,3,10,2023-11-04,2024-08-20,Helpful and responsive
SUP-64,FNB,Papa02,Closed,Low,4,90,2023-03-25,2023-11-07,Product feature missing
SUP-65,FNC,Echo03,Open,Medium,5,25,2025-07-09,2023-12-13,Resolved after escalation
SUP-66,FNB,Sierra02,Pending,Urgent,3,136,2025-06-16,2024-08-19,Helpful and responsive
SUP-67,FNB,Hotel04,Open,High,4,55,2024-06-26,2023-06-11,Issue resolved quickly
SUP-68,FNC,Victor01,Pending,Medium,1,158,2023-12-28,2024-12-14,Resolved after escalation
SUP-69,FNA,Hotel03,Pending,High,2,119,2025-07-06,2023-05-22,Unclear communication
SUP-70,FNC,Romeo02,In Progress,Medium,3,121,2024-05-01,2024-01-25,Unclear communication
SUP-71,FNC,Alpha04,Open,Urgent,5,30,2024-01-20,2023-02-08,Helpful and responsive
SUP-72,FNB,India03,Pending,Low,4,10,2023-03-19,2023-04-29,Product feature missing
SUP-73,FNC,Delta01,Pending,Medium,4,109,2023-06-10,2023-02-02,Helpful and responsive
SUP-74,FNA,Juliet03,In Progress,Low,3,114,2023-11-03,2025-07-11,Need follow-up
SUP-75,FNC,Sierra04,In Progress,Urgent,2,44,2023-11-19,2025-06-19,Resolved after escalation
SUP-76,FNB,Victor03,In Progress,Medium,2,139,2025-07-16,2023-05-27,Pending customer feedback
SUP-77,FNB,Oscar02,Pending,Low,5,46,2023-09-16,2024-03-18,Helpful and responsive
SUP-78,FNC,Alpha03,Pending,High,3,45,2024-08-29,2024-02-13,Product feature missing
SUP-79,FNA,Echo01,In Progress,High,5,39,2023-10-12,2025-01-05,Unclear communication
SUP-80,FNC,Oscar02,Pending,Urgent,3,151,2024-02-10,2025-07-21,Customer waited too long
SUP-81,FNB,Victor02,In Progress,Medium,2,5,2024-05-24,2023-05-18,Helpful and responsive
SUP-82,FNC,Lima02,In Progress,Urgent,5,120,2023-09-16,2024-06-25,Unclear communication
SUP-83,FNA,Hotel01,Pending,Urgent,3,160,2023-07-04,2024-06-07,Excellent support
SUP-84,FNA,Whiskey03,In Progress,Low,5,128,2024-07-31,2023-03-02,Resolved after escalation
SUP-85,FNC,Bravo03,Pending,Urgent,1,90,2023-02-10,2025-02-07,Product feature missing
SUP-86,FNC,Mike03,In Progress,Urgent,5,9,2023-01-18,2023-01-17,Resolved after escalation
SUP-87,FNA,Quebec04,In Progress,Urgent,3,55,2024-03-31,2023-01-05,Helpful and responsive
SUP-88,FNC,Papa04,Closed,Low,1,140,2023-08-24,2023-07-17,Resolved after escalation
SUP-89,FNB,Charlie03,Closed,Urgent,2,124,2024-05-13,2025-04-12,Helpful and responsive
SUP-90,FNB,Yankee01,In Progress,Low,1,63,2025-01-12,2024-07-10,Issue resolved quickly
SUP-91,FNC,India03,Closed,High,2,135,2024-05-05,2025-04-10,Helpful and responsive
SUP-92,FNB,Oscar03,In Progress,High,4,29,2024-09-05,2024-12-19,Need follow-up
SUP-93,FNB,Golf04,Closed,Low,5,136,2025-01-17,2023-10-23,Slow response time
SUP-94,FNB,Uniform02,Closed,High,4,68,2025-07-20,2023-06-29,Excellent support
SUP-95,FNC,Bravo02,Open,Urgent,5,87,2024-11-18,2023-02-16,Customer waited too long
SUP-96,FNB,Victor03,In Progress,High,2,29,2023-04-09,2024-09-26,Helpful and responsive
SUP-97,FNB,Yankee02,In Progress,Urgent,2,167,2024-05-27,2024-04-03,Product feature missing
SUP-98,FNA,Delta04,Pending,Medium,2,140,2025-02-28,2023-10-12,Need follow-up
SUP-99,FNB,Victor03,Pending,Low,5,76,2024-12-31,2024-02-01,Excellent support
SUP-100,FNB,India03,Pending,Low,1,68,2023-01-21,2025-02-28,Slow response time
SUP-101,FNC,Bravo02,In Progress,Medium,3,148,2024-04-14,2025-06-11,Slow response time
SUP-102,FNB,Victor04,In Progress,Urgent,3,80,2025-01-24,2025-07-23,Slow response time
SUP-103,FNC,Delta03,In Progress,High,1,114,2024-06-05,2023-05-11,Helpful and responsive
SUP-104,FNA,Charlie01,Open,Medium,2,6,2025-05-19,2024-02-22,Unclear communication
SUP-105,FNB,Lima02,Open,Low,4,86,2024-01-12,2025-07-12,Unclear communication
SUP-106,FNA,Bravo04,Pending,Medium,4,51,2024-12-22,2024-06-02,Customer waited too long
SUP-107,FNA,India01,Open,Urgent,1,88,2024-04-01,2024-10-30,Resolved after escalation
SUP-108,FNB,Golf02,Closed,High,1,103,2024-03-18,2023-04-17,Product feature missing
SUP-109,FNA,Echo01,Closed,Low,5,165,2024-02-10,2024-07-16,Helpful and responsive
SUP-110,FNB,Xray03,Pending,Urgent,5,160,2023-04-01,2025-07-26,Unclear communication
SUP-111,FNA,Charlie03,Open,High,4,97,2024-02-24,2023-07-09,Helpful and responsive
SUP-112,FNC,Golf02,Closed,Urgent,2,41,2023-08-27,2024-06-04,Customer waited too long
SUP-113,FNC,Quebec04,In Progress,Low,2,93,2024-03-08,2023-11-12,Pending customer feedback
SUP-114,FNC,Romeo04,Closed,Low,4,158,2024-11-23,2023-10-06,Product feature missing
SUP-115,FNC,Victor04,Pending,Low,4,19,2024-12-08,2025-01-04,Excellent support
SUP-116,FNA,Victor03,In Progress,High,5,77,2023-12-25,2024-02-10,Issue resolved quickly
SUP-117,FNA,Tango02,In Progress,High,4,22,2025-07-31,2023-06-01,Customer waited too long
SUP-118,FNA,Juliet03,Closed,Urgent,5,60,2023-01-17,2023-07-02,Pending customer feedback
SUP-119,FNA,Uniform03,Pending,Medium,4,157,2023-07-16,2023-06-14,Need follow-up
SUP-120,FNA,Quebec02,Closed,High,2,42,2023-09-21,2024-12-05,Issue resolved quickly
SUP-121,FNB,Quebec04,Closed,Urgent,1,50,2023-08-19,2024-08-21,Customer waited too long
SUP-122,FNC,Mike04,Pending,Medium,1,18,2025-03-26,2024-11-09,Excellent support
SUP-123,FNC,Charlie03,Open,High,2,8,2025-04-25,2023-02-23,Product feature missing
SUP-124,FNB,Xray04,Open,High,2,125,2023-01-19,2024-04-25,Issue resolved quickly
SUP-125,FNC,Uniform03,Closed,Medium,2,7,2023-10-02,2023-08-27,Resolved after escalation
SUP-126,FNC,Whiskey01,Open,Medium,1,37,2023-06-26,2023-07-31,Helpful and responsive
SUP-127,FNC,Mike02,In Progress,High,5,162,2025-03-23,2023-04-21,Need follow-up
SUP-128,FNB,Mike04,Pending,High,3,105,2025-01-11,2023-01-23,Customer waited too long
SUP-129,FNA,Mike02,Open,Low,5,100,2023-01-08,2024-09-05,Issue resolved quickly
SUP-130,FNA,Papa02,Pending,Urgent,2,40,2024-05-11,2023-02-20,Resolved after escalation
SUP-131,FNA,November03,Open,Urgent,1,35,2023-08-27,2024-08-15,Issue resolved quickly
SUP-132,FNA,India01,Closed,Urgent,2,133,2025-03-20,2024-01-05,Product feature missing
SUP-133,FNC,November01,Closed,High,3,90,2025-02-16,2025-05-14,Issue resolved quickly
SUP-134,FNB,Delta01,Pending,High,1,71,2025-07-28,2024-10-06,Need follow-up
SUP-135,FNA,Oscar01,Pending,Low,3,135,2023-02-02,2025-07-10,Need follow-up
SUP-136,FNB,Mike04,In Progress,Low,4,140,2025-03-19,2023-05-16,Helpful and responsive
SUP-137,FNC,Alpha03,Closed,Low,5,103,2024-09-21,2023-07-08,Pending customer feedback
SUP-138,FNA,Delta03,Closed,High,1,109,2023-11-13,2023-05-30,Slow response time
SUP-139,FNC,Xray02,In Progress,Medium,5,122,2025-06-23,2024-01-10,Issue resolved quickly
SUP-140,FNC,Yankee04,In Progress,Medium,2,63,2023-01-06,2024-05-05,Pending customer feedback
SUP-141,FNA,Sierra03,In Progress,Low,4,108,2024-06-12,2025-07-25,Pending customer feedback
SUP-142,FNB,Quebec04,In Progress,Low,3,42,2024-04-15,2024-03-21,Resolved after escalation
SUP-143,FNA,Golf04,Open,Urgent,1,106,2023-10-01,2024-06-29,Helpful and responsive
SUP-144,FNC,Juliet03,Pending,Medium,4,134,2024-12-07,2024-06-22,Issue resolved quickly
SUP-145,FNB,November04,Closed,High,1,136,2023-02-21,2024-03-05,Helpful and responsive
SUP-146,FNB,Hotel02,In Progress,Low,1,137,2024-05-09,2024-05-24,Excellent support
SUP-147,FNA,Lima04,In Progress,High,4,1,2023-12-29,2024-12-22,Slow response time
SUP-148,FNA,November02,Pending,Medium,4,56,2023-04-24,2024-06-28,Helpful and responsive
SUP-149,FNA,Quebec02,In Progress,Low,5,39,2024-08-12,2025-04-12,Issue resolved quickly
SUP-150,FNB,Tango02,Closed,Urgent,5,161,2024-04-22,2024-06-21,Resolved after escalation
SUP-151,FNB,Papa04,Pending,Medium,2,62,2025-05-07,2024-01-14,Customer waited too long
SUP-152,FNA,Oscar01,Open,High,4,142,2025-06-07,2024-04-10,Issue resolved quickly
SUP-153,FNC,November03,In Progress,High,3,17,2024-10-26,2024-11-05,Need follow-up
SUP-154,FNB,Uniform03,Open,High,3,103,2024-12-05,2024-02-02,Customer waited too long
SUP-155,FNC,Xray03,Open,Low,2,51,2024-09-04,2025-06-02,Unclear communication
SUP-156,FNA,Yankee01,Open,Low,3,134,2023-09-05,2023-01-29,Customer waited too long
SUP-157,FNA,Oscar04,Pending,Urgent,2,15,2025-01-08,2024-08-26,Issue resolved quickly
SUP-158,FNC,Sierra02,Closed,Urgent,5,108,2023-09-29,2024-01-19,Customer waited too long
SUP-159,FNA,Quebec04,Open,High,3,112,2024-11-07,2024-01-15,Customer waited too long
SUP-160,FNC,India04,Pending,Low,1,64,2024-08-07,2023-09-16,Issue resolved quickly
SUP-161,FNC,Hotel01,Closed,Urgent,3,31,2024-09-22,2023-09-18,Resolved after escalation
SUP-162,FNB,Kilo02,Pending,High,3,39,2023-10-25,2024-01-18,Pending customer feedback
SUP-163,FNC,Mike01,Open,High,2,5,2023-12-30,2023-11-29,Unclear communication
SUP-164,FNA,Tango01,Pending,Urgent,5,166,2023-11-15,2023-08-04,Customer waited too long
SUP-165,FNA,Delta04,Open,Low,3,29,2023-02-24,2024-06-27,Unclear communication
SUP-166,FNA,Xray03,Closed,Low,5,136,2025-07-22,2023-06-11,Slow response time
SUP-167,FNA,India01,Pending,Urgent,3,40,2025-06-12,2023-07-11,Issue resolved quickly
SUP-168,FNA,Charlie03,Pending,Low,2,159,2023-06-24,2023-02-15,Pending customer feedback
SUP-169,FNB,Mike03,In Progress,High,5,111,2024-06-10,2023-04-25,Product feature missing
SUP-170,FNB,Papa02,Closed,Urgent,2,115,2024-11-17,2024-11-27,Unclear communication
SUP-171,FNB,Whiskey02,Open,Low,5,158,2023-04-02,2024-09-05,Need follow-up
SUP-172,FNC,Quebec04,Open,Medium,2,160,2025-06-05,2023-03-28,Slow response time
SUP-173,FNB,India02,Pending,Low,3,64,2025-07-13,2023-10-31,Product feature missing
SUP-174,FNC,Juliet02,Closed,Urgent,4,39,2024-10-06,2024-06-04,Unclear communication
SUP-175,FNC,Oscar03,Pending,High,2,1,2023-11-10,2024-06-02,Need follow-up
SUP-176,FNB,Romeo04,Pending,High,3,20,2024-12-13,2024-10-21,Product feature missing
SUP-177,FNA,Kilo03,Pending,Low,5,42,2024-05-12,2023-08-27,Pending customer feedback
SUP-178,FNB,Mike02,In Progress,Low,2,55,2024-01-20,2025-05-13,Resolved after escalation
SUP-179,FNC,Hotel02,In Progress,High,1,115,2024-10-14,2025-04-06,Unclear communication
SUP-180,FNC,Echo04,Open,Low,4,15,2025-05-10,2023-08-22,Excellent support
SUP-181,FNC,Tango04,Closed,High,3,3,2024-07-24,2025-02-25,Issue resolved quickly
SUP-182,FNB,Delta03,Open,High,1,4,2023-10-23,2025-01-02,Customer waited too long
SUP-183,FNB,Alpha04,In Progress,Low,2,107,2023-03-07,2023-10-29,Resolved after escalation
SUP-184,FNC,Yankee04,Pending,Medium,4,146,2024-12-05,2023-12-21,Issue resolved quickly
SUP-185,FNB,Golf03,Pending,High,3,140,2024-12-21,2024-02-03,Helpful and responsive
SUP-186,FNB,India04,In Progress,Medium,3,141,2023-07-23,2025-07-24,Pending customer feedback
SUP-187,FNC,India02,Open,Urgent,2,19,2024-04-20,2024-10-03,Excellent support
SUP-188,FNB,Uniform03,In Progress,Urgent,5,84,2023-12-17,2024-03-16,Resolved after escalation
SUP-189,FNB,Lima04,Pending,High,5,103,2023-03-11,2023-06-05,Customer waited too long
SUP-190,FNA,Oscar02,Open,High,1,163,2023-10-26,2023-05-13,Pending customer feedback
SUP-191,FNA,Foxtrot01,Pending,Urgent,4,73,2023-11-30,2024-11-26,Slow response time
SUP-192,FNB,Kilo02,Pending,Urgent,3,114,2023-09-27,2025-02-27,Customer waited too long
SUP-193,FNB,November01,Pending,Urgent,2,67,2024-12-19,2023-06-21,Product feature missing
SUP-194,FNB,Foxtrot01,Pending,Low,4,117,2025-06-13,2023-11-02,Issue resolved quickly
SUP-195,FNC,Golf01,Open,Urgent,1,132,2023-09-13,2024-08-14,Excellent support
SUP-196,FNB,Uniform01,Pending,Low,3,77,2024-08-11,2025-02-11,Issue resolved quickly
SUP-197,FNB,Uniform02,In Progress,Urgent,1,10,2023-08-16,2025-01-11,Need follow-up
SUP-198,FNA,Papa01,Closed,Low,5,46,2023-11-07,2025-05-31,Unclear communication
SUP-199,FNB,Golf03,Pending,Low,2,158,2025-03-01,2023-05-21,Unclear communication
SUP-200,FNA,Alpha04,Open,Low,5,26,2023-07-10,2023-03-08,Pending customer feedback
SUP-201,FNB,Oscar04,In Progress,Low,1,42,2023-08-19,2023-05-25,Unclear communication
SUP-202,FNC,Xray03,Pending,Urgent,4,50,2025-02-10,2023-04-28,Excellent support
SUP-203,FNB,Echo03,In Progress,Low,5,97,2023-02-28,2023-01-03,Slow response time
SUP-204,FNB,Echo01,Closed,Medium,5,11,2024-10-19,2023-08-02,Excellent support
SUP-205,FNA,Papa01,Pending,Low,4,42,2024-11-08,2023-05-09,Excellent support
SUP-206,FNA,India02,Pending,Medium,1,151,2023-06-25,2024-01-14,Excellent support
SUP-207,FNA,Yankee03,In Progress,Low,1,57,2024-05-15,2023-05-28,Helpful and responsive
SUP-208,FNB,Mike03,Pending,Low,3,45,2025-06-01,2025-04-26,Product feature missing
SUP-209,FNC,Echo01,In Progress,Medium,4,57,2024-03-03,2024-03-17,Customer waited too long
SUP-210,FNA,Uniform04,Closed,Urgent,1,41,2023-08-05,2023-03-22,Need follow-up
SUP-211,FNB,Tango04,Open,Urgent,4,27,2023-05-09,2023-04-26,Product feature missing
SUP-212,FNB,Romeo01,In Progress,High,2,104,2024-11-19,2024-11-09,Unclear communication
SUP-213,FNB,Yankee02,Open,High,3,146,2024-07-30,2023-02-19,Helpful and responsive
SUP-214,FNA,Juliet03,In Progress,Medium,4,51,2025-07-18,2023-04-22,Product feature missing
SUP-215,FNB,Romeo03,Pending,Low,5,159,2025-07-26,2025-05-04,Need follow-up
SUP-216,FNB,Sierra01,Closed,Low,2,69,2023-07-04,2025-02-20,Customer waited too long
SUP-217,FNA,Delta02,Open,Medium,1,64,2023-03-27,2023-09-07,Unclear communication
SUP-218,FNB,Delta04,In Progress,Medium,3,160,2024-11-10,2024-10-08,Issue resolved quickly
SUP-219,FNB,Foxtrot04,Pending,Medium,1,158,2025-07-01,2025-02-13,Resolved after escalation
SUP-220,FNC,Mike02,Open,Urgent,4,122,2025-03-04,2024-05-01,Unclear communication
SUP-221,FNB,Romeo04,In Progress,Urgent,5,137,2024-07-23,2024-10-03,Issue resolved quickly
SUP-222,FNC,Golf02,Pending,High,4,63,2024-10-11,2024-08-14,Need follow-up
SUP-223,FNA,Echo01,Closed,Urgent,4,75,2023-01-14,2024-03-15,Customer waited too long
SUP-224,FNA,Golf02,Open,Low,3,144,2025-07-11,2025-03-23,Issue resolved quickly
SUP-225,FNC,Kilo04,Open,High,5,7,2024-11-09,2025-07-08,Pending customer feedback
SUP-226,FNC,Kilo03,In Progress,Medium,5,100,2023-03-31,2023-11-07,Slow response time
SUP-227,FNC,Oscar01,In Progress,Low,2,50,2024-07-08,2024-11-24,Customer waited too long
SUP-228,FNB,Alpha03,Closed,Urgent,1,155,2025-06-12,2025-04-26,Pending customer feedback
SUP-229,FNB,Romeo03,In Progress,High,2,63,2024-01-12,2025-05-18,Excellent support
SUP-230,FNC,Romeo01,In Progress,Urgent,5,44,2023-05-13,2023-03-08,Customer waited too long
SUP-231,FNC,Echo04,Pending,Low,4,140,2023-12-14,2023-03-01,Slow response time
SUP-232,FNC,Juliet04,Pending,High,2,84,2024-03-06,2024-09-24,Customer waited too long
SUP-233,FNA,Bravo01,Open,Low,1,114,2023-07-21,2024-04-03,Excellent support
SUP-234,FNB,Papa02,Pending,Low,4,166,2023-01-16,2024-11-04,Need follow-up
SUP-235,FNB,Golf01,Pending,High,5,81,2023-08-29,2024-02-21,Slow response time
SUP-236,FNA,Charlie01,Pending,Low,5,163,2023-02-14,2024-12-18,Resolved after escalation
SUP-237,FNB,Delta02,In Progress,High,3,149,2024-04-11,2024-05-31,Pending customer feedback
SUP-238,FNC,Charlie03,In Progress,Medium,5,164,2024-07-27,2025-06-03,Product feature missing
SUP-239,FNB,Echo02,Open,Medium,1,47,2024-05-09,2024-06-15,Slow response time
SUP-240,FNC,Victor01,In Progress,Medium,1,117,2025-01-07,2023-08-19,Unclear communication
SUP-241,FNA,Bravo02,Open,High,2,81,2025-03-21,2025-06-29,Issue resolved quickly
SUP-242,FNA,Alpha03,Open,Medium,1,100,2023-02-12,2024-03-07,Unclear communication
SUP-243,FNB,Sierra02,Closed,Medium,4,7,2024-09-04,2025-03-30,Issue resolved quickly
SUP-244,FNC,Foxtrot01,In Progress,Urgent,4,52,2024-05-04,2024-10-07,Excellent support
SUP-245,FNC,Papa01,In Progress,Urgent,3,79,2023-07-10,2024-07-06,Pending customer feedback
SUP-246,FNB,Sierra01,Open,High,4,154,2024-06-22,2023-09-24,Need follow-up
SUP-247,FNA,Kilo01,Open,Urgent,2,82,2023-01-28,2024-07-03,Slow response time
SUP-248,FNC,Oscar04,Closed,High,2,101,2025-04-10,2023-01-03,Issue resolved quickly
SUP-249,FNB,Uniform02,In Progress,Low,1,43,2025-05-10,2024-12-27,Issue resolved quickly
SUP-250,FNC,India02,Closed,Low,5,140,2024-05-16,2024-10-01,Unclear communication
SUP-251,FNC,Tango02,In Progress,Medium,4,45,2023-09-14,2023-08-19,Need follow-up
SUP-252,FNC,Quebec03,Pending,Medium,2,152,2024-03-14,2024-09-14,Need follow-up
SUP-253,FNB,Whiskey04,Open,Low,4,16,2025-03-28,2025-01-29,Product feature missing
SUP-254,FNA,Tango02,In Progress,Medium,4,24,2023-09-23,2025-01-25,Helpful and responsive
SUP-255,FNA,Victor03,Closed,High,1,134,2023-08-11,2024-05-11,Customer waited too long
SUP-256,FNA,Sierra04,In Progress,High,1,126,2023-11-01,2023-10-24,Helpful and responsive
SUP-257,FNB,Mike03,Pending,Low,2,153,2024-11-05,2024-08-17,Issue resolved quickly
SUP-258,FNB,Uniform01,In Progress,Urgent,2,92,2023-02-11,2023-07-24,Resolved after escalation
SUP-259,FNA,India04,Closed,Low,5,19,2023-09-05,2025-05-20,Unclear communication
SUP-260,FNB,India03,Pending,Medium,1,155,2023-10-11,2024-05-26,Pending customer feedback
SUP-261,FNA,Papa03,Closed,Medium,2,39,2024-11-23,2023-03-17,Need follow-up
SUP-262,FNA,Oscar03,Open,High,3,134,2023-05-02,2024-11-10,Pending customer feedback
SUP-263,FNB,Sierra02,Pending,High,1,18,2023-11-16,2025-04-21,Pending customer feedback
SUP-264,FNC,Delta02,Closed,Urgent,1,65,2025-05-23,2025-01-02,Excellent support
SUP-265,FNC,Whiskey01,Pending,High,2,167,2023-05-23,2024-03-01,Need follow-up
SUP-266,FNB,Uniform03,Pending,Medium,2,116,2025-05-13,2023-12-12,Resolved after escalation
SUP-267,FNB,Papa02,Pending,Medium,4,101,2023-02-18,2024-02-20,Slow response time
SUP-268,FNA,Foxtrot01,Open,Urgent,2,28,2024-10-28,2024-11-08,Resolved after escalation
SUP-269,FNC,Kilo01,In Progress,Medium,1,25,2024-10-05,2025-05-12,Excellent support
SUP-270,FNC,Oscar04,Closed,High,2,121,2025-02-14,2024-11-11,Slow response time
SUP-271,FNA,Oscar01,In Progress,Medium,3,86,2023-03-13,2023-08-27,Customer waited too long
SUP-272,FNA,Xray02,Closed,Medium,1,18,2024-11-27,2023-01-07,Helpful and responsive
SUP-273,FNC,Charlie04,In Progress,Low,3,15,2023-03-29,2024-07-14,Issue resolved quickly
SUP-274,FNA,Oscar01,Pending,Medium,5,105,2023-07-05,2023-10-06,Resolved after escalation
SUP-275,FNC,Juliet04,Pending,Low,4,115,2024-05-28,2023-11-09,Pending customer feedback
SUP-276,FNB,Charlie02,Closed,High,2,157,2024-03-02,2025-04-03,Need follow-up
SUP-277,FNB,Papa02,In Progress,High,3,35,2025-07-17,2025-01-11,Customer waited too long
SUP-278,FNC,Delta01,Pending,High,2,90,2024-09-10,2023-11-29,Slow response time
SUP-279,FNC,Papa02,Pending,Medium,5,110,2024-09-11,2024-01-15,Customer waited too long
SUP-280,FNA,Quebec03,Open,Medium,1,37,2024-10-23,2024-08-27,Slow response time
SUP-281,FNB,Yankee03,In Progress,Medium,1,23,2023-10-03,2023-09-27,Helpful and responsive
SUP-282,FNC,Kilo02,Pending,Medium,5,53,2024-11-23,2023-09-13,Slow response time
SUP-283,FNA,Yankee02,Open,High,4,122,2025-02-27,2023-07-08,Need follow-up
SUP-284,FNC,Quebec01,Closed,Low,2,42,2023-02-10,2023-06-10,Helpful and responsive
